horse,tooth,repeated,previousdepth,extracted,hexarinse,treatment,improvement,days,truncated
id19,309/10,1,8,0,0,M,0,72,0
id19,407/8,1,6,0,0,M,1,72,0
id19,408/9,1,6,0,0,M,1,72,0
id19,409/10,1,6,0,0,M,-1,72,0
id19,310/11,1,4,0,0,CL,-1,72,0
id20,306/7,1,6,0,1,M,2,72,0
id20,307/8,1,9,0,1,M,2,72,0
id20,308/9,1,6,0,1,M,2,72,0
id20,309/10,1,6,0,1,M,1,72,0
id20,407/8,1,6,0,1,M,-1,72,0
id21,308/9,1,6,0,0,M,0,118,0
id21,309/10,1,8,0,0,M,8,118,1
id21,409/10,1,6,0,0,M,2,118,0
id21,310/11,1,4,0,0,CL,-4,118,0
id21,410/11,1,4,0,0,CL,-2,118,0
id21,308/9,2,6,0,0,PVS,6,187,1
id21,309/10,2,0,0,0,None,0,187,1
id21,409/10,2,4,0,0,PVS,4,187,1
id21,310/11,2,8,0,0,PVS,4,187,0
id21,410/11,2,6,0,0,PVS,6,187,1
id22,307/8,1,10,0,1,PVS,10,77,1
id22,407/8,1,6,0,1,PVS,-2,77,0
id22,408/9,1,10,0,1,PVS,5,77,0
id22,409/10,1,0,0,1,None,-6,77,0
id23,310/11,1,6,0,0,CL,3,122,0
id23,410/11,1,6,0,0,CL,3,122,0
id24,306/7,1,6,0,0,PVS,1,119,0
id24,307/8,1,12,0,0,PVS,0,119,0
id24,308/9,1,12,0,0,PVS,0,119,0
id24,309/10,1,8,0,0,PVS,0,119,0
id24,310/11,1,8,0,0,PVS,-2,119,0
id24,406/7,1,6,0,0,PVS,2,119,0
id24,407/8,1,10,0,0,PVS,2,119,0
id24,408/9,1,12,0,0,PVS,4,119,0
id24,409/10,1,9,0,0,PVS,1,119,0
id24,410/11,1,6,0,0,PVS,-4,119,0
id25,106/7,1,6,0,1,PVS,2,78,0
id25,206/7,1,11,0,1,PVS,3,78,0
id26,308/9,1,13,0,1,M,7,42,0
id26,310/11,1,13,0,1,M,1,42,0
id26,308/9,2,6,0,1,PVS,1,91,0
id26,310/11,2,12,0,1,PVS,7,91,0
id27,406/7,1,6,0,0,M,2,172,0
id27,407/8,1,4,0,0,M,-2,172,0
id27,309/10,1,7,0,0,M,3,172,0
id28,108/9,1,8,0,1,PVS,3,87,0
id28,209/10,1,15,0,1,PVS,3,87,0
id29,307/8,1,8,0,0,M,2,96,0
id29,308/9,1,8,0,0,M,0,96,0
id29,309/10,1,9,0,0,M,1,96,0
id29,310/11,1,5,0,0,M,1,96,0
id29,406/7,1,5,0,0,M,1,96,0
id29,407/8,1,10,0,0,M,4,96,0
id29,408/9,1,8,0,0,M,1,96,0
id29,409/10,1,8,0,0,M,2,96,0
id29,410/11,1,6,0,0,M,2,96,0
id30,306/7,1,6,0,0,M,6,79,1
id30,307/8,1,6,0,0,M,2,79,0
id30,309/10,1,8,0,0,M,8,79,1
id30,310/11,1,9,0,0,M,5,79,0
id30,409/10,1,5,0,0,M,5,79,1
id30,410/11,1,6,0,0,M,2,79,0
id30,408/9,1,4,0,0,None,0,79,0
id31,307/8,1,6,0,0,M,6,43,1
id31,308/9,1,8,0,0,M,2,43,0
id31,309/10,1,6,0,0,M,2,43,0
id31,408/9,1,7,0,0,M,7,43,1
id31,409/10,1,8,0,0,M,2,43,0
id31,410/11,1,4,0,0,CL,0,43,0
id31,307/8,2,0,0,0,None,0,166,1
id31,308/9,2,6,0,0,M,6,166,1
id31,309/10,2,4,0,0,M,0,166,0
id31,408/9,2,0,0,0,None,0,166,1
id31,409/10,2,6,0,0,M,2,166,0
id31,410/11,2,4,0,0,M,0,166,0
id32,309/10,1,8,0,0,M,1,100,0
id32,310/11,1,12,0,0,M,6,100,0
id32,407/8,1,6,0,0,M,0,100,0
id32,409/10,1,11,0,0,M,3,100,0
id32,410/11,1,10,0,0,M,4,100,0
id33,107/8,1,10,0,1,DW,0,105,0
id34,310/11,1,10,0,1,M,4,84,0
id34,410/11,1,8,0,1,M,2,84,0
id34,309/10,1,6,0,1,M,6,84,1
id35,307/8,1,8,0,1,M,8,84,1
id35,308/9,1,6,0,1,M,6,84,1
id35,309/10,1,6,0,1,M,6,84,1
id35,409/10,1,5,0,1,M,5,84,1
id36,307/8,1,6,0,0,M,6,205,1
id36,308/9,1,6,0,0,M,6,205,1
id36,309/10,1,9,0,0,M,9,205,1
id36,407/8,1,8,0,0,M,8,205,1
id36,408/9,1,8,0,0,M,8,205,1
id36,409/10,1,8,0,0,M,8,205,1
id36,410/11,1,6,0,0,M,2,205,0
